GEOID,state,delta
6075.0,California,75.75210945509028
6077.0,California,14.359001811157803
6079.0,California,8.105385566888138
6081.0,California,57.239872258130184
6083.0,California,28.72229701446947
6085.0,California,52.13206026923061
6087.0,California,56.52106411221773
6089.0,California,-36.82185552071752
6091.0,California,-24.42622950819672
6093.0,California,-20.041967597111068
6095.0,California,30.36487210513325
6097.0,California,47.14619918444301
6099.0,California,1.831584817538598
6101.0,California,-15.21343555171076
6103.0,California,-36.32675255144721
6105.0,California,-10.517059444249035
6107.0,California,-9.537628856802037
6109.0,California,-21.262094089075163
6111.0,California,17.64981832449122
6113.0,California,41.43379217931538
6115.0,California,-22.871554048178105
8001.0,Colorado,8.507474246766321
8003.0,Colorado,2.060815679492727
8005.0,Colorado,14.133827867716455
8007.0,Colorado,-24.035972203297455
8009.0,Colorado,-68.27682303762192
8011.0,Colorado,-31.032693305656462
8013.0,Colorado,48.33476841959795
8014.0,Colorado,14.232269362413426
8015.0,Colorado,-4.471111111111114
8017.0,Colorado,-71.9600725952813
8019.0,Colorado,2.6252983293556085
8021.0,Colorado,-3.555445052212825
8023.0,Colorado,29.058441558441555
8025.0,Colorado,-48.461034708578914
8027.0,Colorado,-41.22635355512067
8029.0,Colorado,-45.074449076831456
8031.0,Colorado,54.80183937417884
8033.0,Colorado,-55.93625498007968
8035.0,Colorado,-18.08862980602563
8037.0,Colorado,20.255322523093994
8039.0,Colorado,-53.64250844911754
8041.0,Colorado,-22.327701611765477
8043.0,Colorado,-44.713967141491835
8045.0,Colorado,-7.030600680015105
8047.0,Colorado,1.9015659955257291
8049.0,Colorado,-13.227759664648353
8051.0,Colorado,19.5388865278368
8053.0,Colorado,-24.108658743633278
8055.0,Colorado,-6.608511763150936
8057.0,Colorado,-53.19396051103368
8059.0,Colorado,6.871461496828651
8061.0,Colorado,-74.50292397660819
8063.0,Colorado,-65.66720691518098
8065.0,Colorado,10.815879962488282
8067.0,Colorado,9.43178170144462
8069.0,Colorado,4.940810286763956
8071.0,Colorado,-15.6042985426174
8073.0,Colorado,-60.87848932676519
8075.0,Colorado,-55.862991154083524
8077.0,Colorado,-36.122236101631614
8079.0,Colorado,-16.411042944785272
8081.0,Colorado,-67.9080459770115
8083.0,Colorado,-30.17576606004044
8085.0,Colorado,-42.08439535542339
8087.0,Colorado,-41.75585284280937
8089.0,Colorado,-23.485565546616186
8091.0,Colorado,10.453172205438058
8093.0,Colorado,-26.05356628587885
8095.0,Colorado,-58.10463121783877
8097.0,Colorado,45.45281763755584
8099.0,Colorado,-46.75039872408293
8101.0,Colorado,-0.49589298883605437
8103.0,Colorado,-68.2608695652174
8105.0,Colorado,-19.58800144560896
8107.0,Colorado,16.94551694551695
8109.0,Colorado,9.523809523809518
8111.0,Colorado,9.881422924901187
8113.0,Colorado,44.86024486024486
8115.0,Colorado,-54.838709677419345
8117.0,Colorado,27.55657227649313
8119.0,Colorado,-42.52284685682637
8121.0,Colorado,-73.28942553969996
8123.0,Colorado,-22.249460968189744
8125.0,Colorado,-65.20559382174912
9001.0,Connecticut,19.889176157204616
9003.0,Connecticut,22.66850839592591
9005.0,Connecticut,-13.624515096159769
9007.0,Connecticut,7.323072756815314
9009.0,Connecticut,12.285029788446614
9011.0,Connecticut,6.6543617641344355
9013.0,Connecticut,5.569332506716265
9015.0,Connecticut,-7.781909765263755
10001.0,Delaware,-4.879487385720793
10003.0,Delaware,29.49567629987309
10005.0,Delaware,-21.958720096596487
11001.0,District of Columbia,86.77634707069149
12001.0,Florida,22.54474181580605
12003.0,Florida,-64.76175399715055
12005.0,Florida,-46.19281213909185
12007.0,Florida,-49.5040502562407
12009.0,Florida,-19.751741053273683
12011.0,Florida,35.142574502584885
12013.0,Florida,-56.14208189442526
12015.0,Florida,-27.780314192624566
12017.0,Florida,-39.732747804266
12019.0,Florida,-44.27091648432145
12021.0,Florida,-25.960688334728815
12023.0,Florida,-44.47347336886474
12027.0,Florida,-27.703826955074874
12029.0,Florida,-63.20466537073035
12031.0,Florida,-1.3792625290331557
12033.0,Florida,-20.559589162387113
12035.0,Florida,-20.562405439716187
12037.0,Florida,-39.58437240232752
12039.0,Florida,37.498304164970826
12041.0,Florida,-62.73159144893112
12043.0,Florida,-39.627842866988274
12045.0,Florida,-49.48580830933771
12047.0,Florida,-28.18681318681319
12049.0,Florida,-40.78860609257549
12051.0,Florida,-14.215024741340535
12053.0,Florida,-28.972450850782543
12055.0,Florida,-32.01856148491879
12057.0,Florida,6.864437974768265
12059.0,Florida,-77.87174066243834
12061.0,Florida,-24.46849729405441
12063.0,Florida,-37.355638990542275
12065.0,Florida,-5.0882930019620645
12067.0,Florida,-67.54127358490567
12069.0,Florida,-23.084323778906736
12071.0,Florida,-20.416334783407883
12073.0,Florida,25.140667315226253
12075.0,Florida,-44.722866718226356
12077.0,Florida,-57.40291262135922
12079.0,Florida,-15.579071134626687
12081.0,Florida,-17.16603895886186
12083.0,Florida,-26.21179164281626
12085.0,Florida,-26.831173069750086
12086.0,Florida,29.600674961538616
12087.0,Florida,-6.90475069447713
12089.0,Florida,-50.20061364172764
12091.0,Florida,-47.705121213623514
12093.0,Florida,-39.52977367611513
12095.0,Florida,24.653883117477463
12097.0,Florida,25.07524642312027
12099.0,Florida,15.441047692093996
12101.0,Florida,-21.547323328039013
12103.0,Florida,-1.1169712613448723
12105.0,Florida,-14.067896762030713
12107.0,Florida,-36.368028504997426
12109.0,Florida,-33.3921795566755
12111.0,Florida,-2.4196468508381486
12113.0,Florida,-53.42184739871218
12115.0,Florida,-11.598555855812592
12117.0,Florida,-1.5691697495731347
12119.0,Florida,-39.25128807147982
12121.0,Florida,-55.22092650048143
12123.0,Florida,-51.431646932185146
12125.0,Florida,-62.41657885493502
12127.0,Florida,-13.001161502516588
12129.0,Florida,-40.15373591296985
12131.0,Florida,-56.12866783601392
12133.0,Florida,-57.126210111150954
13001.0,Georgia,-57.90074158585283
13003.0,Georgia,-45.249042145593876
13005.0,Georgia,-68.55721393034827
13007.0,Georgia,-8.68055555555555
13009.0,Georgia,1.6939687267311996
13011.0,Georgia,-78.13620071684588
13013.0,Georgia,-49.99311768754303
13015.0,Georgia,-54.86472819216182
13017.0,Georgia,-27.594339622641506
13019.0,Georgia,-66.38846737481032
13021.0,Georgia,20.359128378810148
13023.0,Georgia,-52.63369521511862
13025.0,Georgia,-78.52721790192032
13027.0,Georgia,-18.513257575757564
13029.0,Georgia,-42.938113754695834
13031.0,Georgia,-23.052614947069053
13033.0,Georgia,2.5665704202759017
13035.0,Georgia,-43.63043935253312
13037.0,Georgia,17.23456790123457
13039.0,Georgia,-33.75482778688958
13043.0,Georgia,-43.529099123040126
13045.0,Georgia,-39.810974365948184
13047.0,Georgia,-60.189856859887136
13049.0,Georgia,-48.48107569721115
13051.0,Georgia,14.804444365179862
13053.0,Georgia,-11.294964028776981
13055.0,Georgia,-58.76151236063984
